Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma
210,231.812424,0.000000,0.000000,0,0
211,231.631172,0.000000,0.000000,0,0
212,231.458420,0.000000,0.000000,0,0
213,232.077573,0.000000,0.000000,0,0
214,232.699377,0.000000,0.000000,0,0
215,233.323809,0.000000,0.000000,0,0
216,233.950850,0.000000,0.000000,0,0
217,233.805475,0.000000,0.000000,0,0
218,233.668569,0.000000,0.000000,0,0
219,233.540146,0.000000,0.000000,0,0
220,233.420222,0.000000,0.000000,0,0
221,232.658548,0.000000,0.000000,0,0
222,231.898685,0.000000,0.000000,0,0
223,231.140650,0.000000,0.000000,0,0
224,231.041122,0.000000,0.000000,0,0
225,230.288949,0.000000,0.000000,0,0
226,229.538668,0.000000,0.000000,0,0
227,228.790297,0.000000,0.000000,0,0
228,228.711609,0.000000,0.000000,0,0
229,227.969296,0.000000,0.000000,0,0
230,227.228959,0.000000,0.000000,0,0
231,226.490618,0.000000,0.000000,0,0
232,225.754291,0.000000,0.000000,0,0
233,225.701130,0.000000,0.000000,0,0
234,224.971109,0.000000,0.000000,0,0
235,224.243172,0.000000,0.000000,0,0
236,223.517337,0.000000,0.000000,0,0
237,223.486017,0.000000,0.000000,0,0
238,222.766694,0.000000,0.000000,0,0
239,222.748737,0.000000,0.000000,0,0
240,222.739758,0.000000,0.000000,0,0
241,222.031529,0.000000,0.000000,0,0
242,221.325552,0.000000,0.000000,0,0
243,221.334588,0.000000,0.000000,0,0
244,221.352660,0.000000,0.000000,0,0
245,221.379764,0.000000,0.000000,0,0
246,222.103579,0.000000,0.000000,0,0
247,222.829531,0.000000,0.000000,0,0
248,222.874404,0.000000,0.000000,0,0
249,223.606798,0.000000,0.000000,0,0
250,223.664928,0.000000,0.000000,0,0
251,222.991031,0.000000,0.000000,0,0
252,222.319590,0.000000,0.000000,0,0
253,222.396043,0.000000,0.000000,0,0
254,221.731820,0.000000,0.000000,0,0
255,221.822001,0.000000,0.000000,0,0
256,221.921157,0.000000,0.000000,0,0
257,221.269067,0.000000,0.000000,0,0
258,221.382023,0.000000,0.000000,0,0
259,220.737401,0.000000,0.000000,0,0
260,220.095434,0.000000,0.000000,0,0
261,219.456146,0.000000,0.000000,0,0
262,218.819560,0.000000,0.000000,0,0
263,218.961184,0.000000,0.000000,0,0
264,218.332316,0.000000,0.000000,0,0
265,218.487986,0.000000,0.000000,0,0
266,217.866932,0.000000,0.000000,0,0
267,218.036694,0.000000,0.000000,0,0
268,218.826415,0.000000,0.000000,0,0
269,219.617850,0.000000,0.000000,0,0
270,220.410980,0.000000,0.000000,0,0
271,221.205787,0.000000,0.000000,0,0
272,222.002252,0.000000,0.000000,0,0
273,222.200360,0.000000,0.000000,0,0
274,223.002242,0.000000,0.000000,0,0
275,222.407284,0.000000,0.000000,0,0
276,222.623000,0.000000,0.000000,0,0
277,222.036033,0.000000,0.000000,0,0
278,222.265607,0.000000,0.000000,0,0
279,222.503933,0.000000,0.000000,0,0
280,221.930169,0.000000,0.000000,0,0
281,221.359436,0.000000,0.000000,0,0
282,221.616786,0.000000,0.000000,0,0
283,221.054292,0.000000,0.000000,0,0
284,220.494898,0.000000,0.000000,0,0
285,219.938628,0.000000,0.000000,0,0
286,220.220344,0.000000,0.000000,0,0
287,219.672483,0.000000,0.000000,0,0
288,219.127817,0.000000,0.000000,0,0
289,218.586367,0.000000,0.000000,0,0
290,218.048160,0.000000,0.000000,0,0
291,218.359795,0.000000,0.000000,0,0
292,218.680132,0.000000,0.000000,0,0
293,219.531319,0.000000,0.000000,0,0
294,220.383756,0.000000,0.000000,0,0
295,221.237429,0.000000,0.000000,0,0
296,222.092323,0.000000,0.000000,0,0
297,222.434260,0.000000,0.000000,0,0
298,222.784649,0.000000,0.000000,0,0
299,223.143452,0.000000,0.000000,0,0
300,223.510626,0.000000,0.000000,0,0
301,223.015695,0.000000,0.000000,0,0
302,222.524156,0.000000,0.000000,0,0
303,222.036033,0.000000,0.000000,0,0
304,222.427516,0.000000,0.000000,0,0
305,221.948192,0.000000,0.000000,0,0
306,221.472346,0.000000,0.000000,0,0
307,221.000000,0.000000,0.000000,0,0
308,220.531177,0.000000,0.000000,0,0
309,220.952484,0.000000,0.000000,0,0
310,220.492630,0.000000,0.000000,0,0
311,220.036361,0.000000,0.000000,0,0
312,220.476756,0.000000,0.000000,0,0
313,220.925327,0.000000,0.000000,0,0
314,221.822001,0.000000,0.000000,0,0
315,222.719555,0.000000,0.000000,0,0
316,223.617978,0.000000,0.000000,0,0
317,224.517260,0.000000,0.000000,0,0
318,225.417391,0.000000,0.000000,0,0
319,226.318360,0.000000,0.000000,0,0
